image_id,rel_path,category,category_name,resolution,distortion,distortion_name
1080/Academic/img_000001.png,1080/Academic/img_000001.png,3,Academic,1080,1,base
1080/Academic/img_000002.png,1080/Academic/img_000002.png,3,Academic,1080,1,base
1080/Academic/img_000003.png,1080/Academic/img_000003.png,3,Academic,1080,1,base
1080/Academic/img_000004.png,1080/Academic/img_000004.png,3,Academic,1080,1,base
1080/Academic/img_000005.png,1080/Academic/img_000005.png,3,Academic,1080,1,base
1080/Academic/img_000006.png,1080/Academic/img_000006.png,3,Academic,1080,1,base
1080/Academic/img_000007.png,1080/Academic/img_000007.png,3,Academic,1080,1,base
1080/Academic/img_000008.png,1080/Academic/img_000008.png,3,Academic,1080,1,base
1080/Academic/img_000009.png,1080/Academic/img_000009.png,3,Academic,1080,1,base
1080/Academic/img_000010.png,1080/Academic/img_000010.png,3,Academic,1080,1,base
1080/Academic/img_000011.png,1080/Academic/img_000011.png,3,Academic,1080,1,base
1080/Academic/img_000012.png,1080/Academic/img_000012.png,3,Academic,1080,1,base
1080/Academic/img_000013.png,1080/Academic/img_000013.png,3,Academic,1080,1,base
1080/Academic/img_000014.png,1080/Academic/img_000014.png,3,Academic,1080,1,base
1080/Academic/img_000015.png,1080/Academic/img_000015.png,3,Academic,1080,1,base
1080/Academic/img_000016.png,1080/Academic/img_000016.png,3,Academic,1080,1,base
1080/Academic/img_000017.png,1080/Academic/img_000017.png,3,Academic,1080,1,base
1080/Academic/img_000018.png,1080/Academic/img_000018.png,3,Academic,1080,1,base
1080/Academic/img_000019.png,1080/Academic/img_000019.png,3,Academic,1080,1,base
1080/Academic/img_000020.png,1080/Academic/img_000020.png,3,Academic,1080,1,base
1080/Academic/img_000021.png,1080/Academic/img_000021.png,3,Academic,1080,1,base
1080/Academic/img_000022.png,1080/Academic/img_000022.png,3,Academic,1080,1,base
1080/Academic/img_000023.png,1080/Academic/img_000023.png,3,Academic,1080,1,base
1080/Academic/img_000024.png,1080/Academic/img_000024.png,3,Academic,1080,1,base
1080/Academic/img_000025.png,1080/Academic/img_000025.png,3,Academic,1080,1,base
