image_id,rel_path,category,category_name,resolution,distortion,distortion_name
1080_M/AD/img_20.png,1080_M/AD/img_20.png,1,AD,1080,2,M
1080_M/AD/img_84.png,1080_M/AD/img_84.png,1,AD,1080,2,M
1080_M/AD/img_62.png,1080_M/AD/img_62.png,1,AD,1080,2,M
1080_M/AD/img_85.png,1080_M/AD/img_85.png,1,AD,1080,2,M
1080_M/AD/img_31.png,1080_M/AD/img_31.png,1,AD,1080,2,M
1080_M/AD/img_19.png,1080_M/AD/img_19.png,1,AD,1080,2,M
1080_M/AD/img_81.png,1080_M/AD/img_81.png,1,AD,1080,2,M
1080_M/AD/img_134.png,1080_M/AD/img_134.png,1,AD,1080,2,M
1080_M/AD/img_135.png,1080_M/AD/img_135.png,1,AD,1080,2,M
1080_M/AD/img_133.png,1080_M/AD/img_133.png,1,AD,1080,2,M
1080_M/AD/img_22.png,1080_M/AD/img_22.png,1,AD,1080,2,M
1080_M/AD/img_40.png,1080_M/AD/img_40.png,1,AD,1080,2,M
1080_M/AD/img_1.png,1080_M/AD/img_1.png,1,AD,1080,2,M
1080_M/AD/img_91.png,1080_M/AD/img_91.png,1,AD,1080,2,M
1080_M/AD/img_5.png,1080_M/AD/img_5.png,1,AD,1080,2,M
1080_M/AD/img_128.png,1080_M/AD/img_128.png,1,AD,1080,2,M
1080_M/AD/img_82.png,1080_M/AD/img_82.png,1,AD,1080,2,M
1080_M/AD/img_115.png,1080_M/AD/img_115.png,1,AD,1080,2,M
1080_M/AD/img_39.png,1080_M/AD/img_39.png,1,AD,1080,2,M
1080_M/AD/img_126.png,1080_M/AD/img_126.png,1,AD,1080,2,M
1080_M/AD/img_71.png,1080_M/AD/img_71.png,1,AD,1080,2,M
1080_M/AD/img_83.png,1080_M/AD/img_83.png,1,AD,1080,2,M
1080_M/AD/img_29.png,1080_M/AD/img_29.png,1,AD,1080,2,M
1080_M/AD/img_75.png,1080_M/AD/img_75.png,1,AD,1080,2,M
1080_M/AD/img_8.png,1080_M/AD/img_8.png,1,AD,1080,2,M
1080_M/AD/img_87.png,1080_M/AD/img_87.png,1,AD,1080,2,M
1080_M/AD/img_101.png,1080_M/AD/img_101.png,1,AD,1080,2,M
1080_M/AD/img_147.png,1080_M/AD/img_147.png,1,AD,1080,2,M
1080_M/AD/img_79.png,1080_M/AD/img_79.png,1,AD,1080,2,M
1080_M/AD/img_47.png,1080_M/AD/img_47.png,1,AD,1080,2,M
1080_M/AD/img_18.png,1080_M/AD/img_18.png,1,AD,1080,2,M
1080_M/AD/img_24.png,1080_M/AD/img_24.png,1,AD,1080,2,M
1080_M/AD/img_137.png,1080_M/AD/img_137.png,1,AD,1080,2,M
1080_M/AD/img_96.png,1080_M/AD/img_96.png,1,AD,1080,2,M
1080_M/AD/img_88.png,1080_M/AD/img_88.png,1,AD,1080,2,M
1080_M/AD/img_63.png,1080_M/AD/img_63.png,1,AD,1080,2,M
1080_M/AD/img_70.png,1080_M/AD/img_70.png,1,AD,1080,2,M
1080_M/AD/img_41.png,1080_M/AD/img_41.png,1,AD,1080,2,M
1080_M/AD/img_69.png,1080_M/AD/img_69.png,1,AD,1080,2,M
1080_M/AD/img_23.png,1080_M/AD/img_23.png,1,AD,1080,2,M
1080_M/AD/img_37.png,1080_M/AD/img_37.png,1,AD,1080,2,M
1080_M/AD/img_55.png,1080_M/AD/img_55.png,1,AD,1080,2,M
1080_M/AD/img_46.png,1080_M/AD/img_46.png,1,AD,1080,2,M
1080_M/AD/img_113.png,1080_M/AD/img_113.png,1,AD,1080,2,M
1080_M/AD/img_58.png,1080_M/AD/img_58.png,1,AD,1080,2,M
1080_M/AD/img_43.png,1080_M/AD/img_43.png,1,AD,1080,2,M
